Date,BCHARTS/MTGOXUSD - High,BCHARTS/MTGOXUSD - Low,BCHARTS/MTGOXUSD - Volume (Currency),BCHARTS/MTGOXUSD - Weighted Price,BCHARTS/B7USD - High,BCHARTS/B7USD - Low,BCHARTS/B7USD - Volume (Currency),BCHARTS/B7USD - Weighted Price,BCHARTS/BCMBMUSD - High,BCHARTS/BCMBMUSD - Low,BCHARTS/BCMBMUSD - Volume (Currency),BCHARTS/BCMBMUSD - Weighted Price,BCHARTS/BCMLRUSD - High,BCHARTS/BCMLRUSD - Low,BCHARTS/BCMLRUSD - Volume (Currency),BCHARTS/BCMLRUSD - Weighted Price,BCHARTS/BCMMBUSD - High,BCHARTS/BCMMBUSD - Low,BCHARTS/BCMMBUSD - Volume (Currency),BCHARTS/BCMMBUSD - Weighted Price,BCHARTS/LYBITUSD - High,BCHARTS/LYBITUSD - Low,BCHARTS/LYBITUSD - Volume (Currency),BCHARTS/LYBITUSD - Weighted Price,BCHARTS/B2CUSD - High,BCHARTS/B2CUSD - Low,BCHARTS/B2CUSD - Volume (Currency),BCHARTS/B2CUSD - Weighted Price,BCHARTS/ANXHKUSD - High,BCHARTS/ANXHKUSD - Low,BCHARTS/ANXHKUSD - Volume (Currency),BCHARTS/ANXHKUSD - Weighted Price,BCHARTS/BITMEUSD - High,BCHARTS/BITMEUSD - Low,BCHARTS/BITMEUSD - Volume (Currency),BCHARTS/BITMEUSD - Weighted Price,BCHARTS/CRYPTOXUSD - High,BCHARTS/CRYPTOXUSD - Low,BCHARTS/CRYPTOXUSD - Volume (Currency),BCHARTS/CRYPTOXUSD - Weighted Price,BCHARTS/BITBOXUSD - High,BCHARTS/BITBOXUSD - Low,BCHARTS/BITBOXUSD - Volume (Currency),BCHARTS/BITBOXUSD - Weighted Price,BCHARTS/INTRSNGUSD - High,BCHARTS/INTRSNGUSD - Low,BCHARTS/INTRSNGUSD - Volume (Currency),BCHARTS/INTRSNGUSD - Weighted Price,BCHARTS/BTCEUSD - High,BCHARTS/BTCEUSD - Low,BCHARTS/BTCEUSD - Volume (Currency),BCHARTS/BTCEUSD - Weighted Price,BCHARTS/WEEXUSD - High,BCHARTS/WEEXUSD - Low,BCHARTS/WEEXUSD - Volume (Currency),BCHARTS/WEEXUSD - Weighted Price,BCHARTS/BITSTAMPUSD - High,BCHARTS/BITSTAMPUSD - Low,BCHARTS/BITSTAMPUSD - Volume (Currency),BCHARTS/BITSTAMPUSD - Weighted Price,BCHARTS/BCMPPUSD - High,BCHARTS/BCMPPUSD - Low,BCHARTS/BCMPPUSD - Volume (Currency),BCHARTS/BCMPPUSD - Weighted Price,BCHARTS/BITFLOORUSD - High,BCHARTS/BITFLOORUSD - Low,BCHARTS/BITFLOORUSD - Volume (Currency),BCHARTS/BITFLOORUSD - Weighted Price,BCHARTS/BTC24USD - High,BCHARTS/BTC24USD - Low,BCHARTS/BTC24USD - Volume (Currency),BCHARTS/BTC24USD - Weighted Price,BCHARTS/BTCEXUSD - High,BCHARTS/BTCEXUSD - Low,BCHARTS/BTCEXUSD - Volume (Currency),BCHARTS/BTCEXUSD - Weighted Price,BCHARTS/BTCTREEUSD - High,BCHARTS/BTCTREEUSD - Low,BCHARTS/BTCTREEUSD - Volume (Currency),BCHARTS/BTCTREEUSD - Weighted Price,BCHARTS/EXCHBUSD - High,BCHARTS/EXCHBUSD - Low,BCHARTS/EXCHBUSD - Volume (Currency),BCHARTS/EXCHBUSD - Weighted Price,BCHARTS/FBTCUSD - High,BCHARTS/FBTCUSD - Low,BCHARTS/FBTCUSD - Volume (Currency),BCHARTS/FBTCUSD - Weighted Price,BCHARTS/GLOBALUSD - High,BCHARTS/GLOBALUSD - Low,BCHARTS/GLOBALUSD - Volume (Currency),BCHARTS/GLOBALUSD - Weighted Price,BCHARTS/IMCEXUSD - High,BCHARTS/IMCEXUSD - Low,BCHARTS/IMCEXUSD - Volume (Currency),BCHARTS/IMCEXUSD - Weighted Price,BCHARTS/RUXUMUSD - High,BCHARTS/RUXUMUSD - Low,BCHARTS/RUXUMUSD - Volume (Currency),BCHARTS/RUXUMUSD - Weighted Price,BCHARTS/THLRUSD - High,BCHARTS/THLRUSD - Low,BCHARTS/THLRUSD - Volume (Currency),BCHARTS/THLRUSD - Weighted Price,BCHARTS/THUSD - High,BCHARTS/THUSD - Low,BCHARTS/THUSD - Volume (Currency),BCHARTS/THUSD - Weighted Price,BCHARTS/LOCALBTCUSD - High,BCHARTS/LOCALBTCUSD - Low,BCHARTS/LOCALBTCUSD - Volume (Currency),BCHARTS/LOCALBTCUSD - Weighted Price,BCHARTS/COTRUSD - High,BCHARTS/COTRUSD - Low,BCHARTS/COTRUSD - Volume (Currency),BCHARTS/COTRUSD - Weighted Price,BCHARTS/HITBTCUSD - High,BCHARTS/HITBTCUSD - Low,BCHARTS/HITBTCUSD - Volume (Currency),BCHARTS/HITBTCUSD - Weighted Price,BCHARTS/KRAKENUSD - High,BCHARTS/KRAKENUSD - Low,BCHARTS/KRAKENUSD - Volume (Currency),BCHARTS/KRAKENUSD - Weighted Price,BCHARTS/BITFINEXUSD - High,BCHARTS/BITFINEXUSD - Low,BCHARTS/BITFINEXUSD - Volume (Currency),BCHARTS/BITFINEXUSD - Weighted Price,BCHARTS/JUSTUSD - High,BCHARTS/JUSTUSD - Low,BCHARTS/JUSTUSD - Volume (Currency),BCHARTS/JUSTUSD - Weighted Price,BCHARTS/CBXUSD - High,BCHARTS/CBXUSD - Low,BCHARTS/CBXUSD - Volume (Currency),BCHARTS/CBXUSD - Weighted Price,BCHARTS/LAKEUSD - High,BCHARTS/LAKEUSD - Low,BCHARTS/LAKEUSD - Volume (Currency),BCHARTS/LAKEUSD - Weighted Price,BCHARTS/VCXUSD - High,BCHARTS/VCXUSD - Low,BCHARTS/VCXUSD - Volume (Currency),BCHARTS/VCXUSD - Weighted Price,BCHARTS/CRYTRUSD - High,BCHARTS/CRYTRUSD - Low,BCHARTS/CRYTRUSD - Volume (Currency),BCHARTS/CRYTRUSD - Weighted Price,BCHARTS/ROCKUSD - High,BCHARTS/ROCKUSD - Low,BCHARTS/ROCKUSD - Volume (Currency),BCHARTS/ROCKUSD - Weighted Price,BCHARTS/ICBITUSD - High,BCHARTS/ICBITUSD - Low,BCHARTS/ICBITUSD - Volume (Currency),BCHARTS/ICBITUSD - Weighted Price,BCHARTS/BITKONANUSD - High,BCHARTS/BITKONANUSD - Low,BCHARTS/BITKONANUSD - Volume (Currency),BCHARTS/BITKONANUSD - Weighted Price,BCHARTS/BITMARKETUSD - High,BCHARTS/BITMARKETUSD - Low,BCHARTS/BITMARKETUSD - Volume (Currency),BCHARTS/BITMARKETUSD - Weighted Price,BCHARTS/ITBITUSD - High,BCHARTS/ITBITUSD - Low,BCHARTS/ITBITUSD - Volume (Currency),BCHARTS/ITBITUSD - Weighted Price,BCHARTS/1COINUSD - High,BCHARTS/1COINUSD - Low,BCHARTS/1COINUSD - Volume (Currency),BCHARTS/1COINUSD - Weighted Price,BCHARTS/BITBAYUSD - High,BCHARTS/BITBAYUSD - Low,BCHARTS/BITBAYUSD - Volume (Currency),BCHARTS/BITBAYUSD - Weighted Price,BCHARTS/BITALOUSD - High,BCHARTS/BITALOUSD - Low,BCHARTS/BITALOUSD - Volume (Currency),BCHARTS/BITALOUSD - Weighted Price,BCHARTS/IBWTUSD - High,BCHARTS/IBWTUSD - Low,BCHARTS/IBWTUSD - Volume (Currency),BCHARTS/IBWTUSD - Weighted Price,BCHARTS/COINBASEUSD - High,BCHARTS/COINBASEUSD - Low,BCHARTS/COINBASEUSD - Volume (Currency),BCHARTS/COINBASEUSD - Weighted Price,BCHARTS/EXMOUSD - High,BCHARTS/EXMOUSD - Low,BCHARTS/EXMOUSD - Volume (Currency),BCHARTS/EXMOUSD - Weighted Price,BCHARTS/BITCUREXUSD - High,BCHARTS/BITCUREXUSD - Low,BCHARTS/BITCUREXUSD - Volume (Currency),BCHARTS/BITCUREXUSD - Weighted Price
2010-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,3.0,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,3.9,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,0.519,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,0.522,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,0.522,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,0.522,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,7.5,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0035,0.0031,20.035,0.00328442623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0043,0.004,10.5246,0.00401395881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00429,0.0042,7.66338,0.004206026345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003499,0.003499,0.52485,0.003499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0039,0.0039,40.95,0.0039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0041,0.004,23.762,0.004042531473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00442,0.0042,92.256363,0.004376280205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
